"eleicao","cargo","municipio","ibge_cod","tse_cod","turno","candidato","partido","votosnom","votosper","situacao"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","JOSE ELIESER DE SOUZA","PMDB",271,4.12,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","EDMILSON DAMICO","PDS",266,4.05,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","MARCIO CALAFIORI RESENDE","PDS",265,4.03,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","CELSO DE OLIVEIRA SABIA","PMDB",254,3.86,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","EDSON PALMA CRIVELENTI","PDS",240,3.65,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","OSMAR VOLTOLINI","PDS",233,3.54,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","CELIO VICCARI","PDS",213,3.24,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","LUIZ ANHEZINI","PDS",152,2.31,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","JOSE PEREIRA PARRA","PMDB",141,5.05,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","JOSE DOS SANTOS VICENTINO","PDS",118,4.22,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","DURVAL CRUZ SOLER","PDS",116,4.15,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","JOSE LUIZ FERNANDES DO CARMO","PMDB",115,4.12,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","IRINEU RIBEIRO DA CRUZ NETTO","PDS",108,3.87,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","JOSE MONDANEZ","PMDB",106,3.79,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","AUGUSTO ANTIQUEIRA TROFINO","PDS",105,3.76,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","CYRILLO GREMIS","PDS",105,3.76,"ELEITO"
1982,"VEREADOR","ALTO ALEGRE","3501103","61212","1","WALDEMAR BADARO","PMDB",104,3.72,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","PAULO MARIANO DOS SANTOS","PMDB",220,7.25,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","LUIZ CARLOS SILVA","PDS",193,6.36,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","JACOB PIRES DA SILVA","PMDB",183,6.03,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","ANA APARECIDA MENDONCA DA SILVA","PMDB",178,5.87,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","GALDOZ FRANCISCO PABLOS","PMDB",173,5.7,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","ARGEMIRO PIMENTA","PDS",160,5.28,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","GREGORIO GONZALES MANZANARES","PMDB",123,4.06,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","JOAO MARTINS DE ARRUDA","PDS",120,3.96,"ELEITO"
1982,"VEREADOR","ALVARES FLORENCE","3501202","61239","1","ARLINDO LOURENCO DE PAULA","PDS",104,3.43,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","ANTONIO APARECIDO GARCIA","PMDB",357,5.8,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","SEBASTIAO ANTONIO PEREIRA","PMDB",325,5.28,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","EDUARDO JUSTINO COSTA","PMDB",316,5.13,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","NELSON CARDOSO DOMINGUES","PDS",295,4.79,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","JAIR GONCALVES BRITO","PMDB",286,4.65,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","MARCOS ANTONIO RIBEIRO","PDS",253,4.11,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","ANTONIO PEREIRA DA SILVA","PDS",252,4.09,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","ANACLETO AVELANEDA","PDS",250,4.06,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","SEBASTIAO DOS REIS MARQUES","PMDB",225,3.66,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","JOSE MOLINA","PMDB",213,3.46,"ELEITO"
1982,"VEREADOR","ALVARES MACHADO","3501301","61255","1","PEDRO CALLES BUSSO","PMDB",209,3.4,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","ANTONIO CARES","PDS",88,6.8,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","JOAO MARTINS DOS SANTOS","PDS",81,6.26,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","MARCOS HENRIQUE BOSQUE","PDS",60,4.64,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","ADOLFO DE REZENDE","PTB",47,3.63,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","WALDIR TEIXEIRA DA SILVA","PDS",44,3.4,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","CAETANO RAMIRES","PTB",37,2.86,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","LUIZ CARLOS BORGES DE SOUZA","PDS",36,2.78,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","JOAQUIM DEL CASTILHO FILHO","PDS",35,2.7,"ELEITO"
1982,"VEREADOR","ALVARO DE CARVALHO","3501400","61271","1","PAULO ROBERTO DE OLIVEIRA","PMDB",29,2.24,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","NATALICIO APARECIDO DA SILVA","PDS",108,8.72,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","RENATO TERUEL","PDS",100,8.08,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","OROZIMBO SIMOES FONTES","PDS",87,7.03,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","GREGORIO PEREZ CAMACHIO","PDS",61,4.93,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","ANTONIO VIEIRA DA SILVA FARIAS","PDS",55,4.44,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","APARECIDO DA SILVA","PDS",55,4.44,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","ELIZEO JESUS ELEUTERIO","PDS",51,4.12,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","MARIO SOARES","PDS",43,3.47,"ELEITO"
1982,"VEREADOR","ALVINLANDIA","3501509","61298","1","LUIZ CARLOS TERUEL","PDS",40,3.23,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","SAME NAJAR","PDS",1351,2.03,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","JOAQUIM APARECIDO DE OLIVEIRA","PT",1348,2.02,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","ADELINO SEBASTIAO ANDRELI","PMDB",1308,1.96,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","JOSE APARECIDO CASTILHO","PMDB",1114,1.67,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","MOACIR LEME","PMDB",1099,1.65,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","CLOVIS ZALAF","PDS",1022,1.53,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","LUIZ ANTONIO MIANTE","PMDB",1019,1.53,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","JOSE RICHARD LINCOLN FARAONE ABRAHAO","PMDB",998,1.5,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","MAURO LOURENCO DOS SANTOS","PMDB",978,1.47,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","JOSE DOMINGOS CHAVARE","PMDB",963,1.45,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","RUBENS DA SILVA","PDS",929,1.39,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","SEBASTIAO MARQUES RICETTO","PMDB",928,1.39,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","ABELARDO FONSECA NETO","PMDB",827,1.24,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","JOSE EURIDIO FASCINA","PDS",738,1.11,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","DECIO VITTA","PDS",702,1.05,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","ANTONIO BANDINI","PT",619,0.93,"ELEITO"
1982,"VEREADOR","AMERICANA","3501608","61310","1","CARLOS BAPTISTA DE MELLO","PTB",322,0.48,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","JOSE FABIO RONCALLI","PDS",502,8.74,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","DIVALDO DE CAMARGO PEREIRA","PDS",270,4.7,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","ITALO DELLA ROVERE","PMDB",249,4.33,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","SECONDO DELLA ROVERE","PMDB",205,3.57,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","JOAO ALVES CARNEIRO","PMDB",168,2.92,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","DORIVAL BARBIERI","PDS",164,2.85,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","BENTO LUPI","PMDB",155,2.7,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","VALDEMIRO BRITO GOUVEIA","PDS",139,2.42,"ELEITO"
1982,"VEREADOR","AMERICO BRASILIENSE","3501707","61336","1","JOAO TIDEI NETTO","PDS",135,2.35,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","MARIO JABUR","PDS",192,5.1,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","JOAO VALENTIM FONTOURA","PDS",188,5,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","JOSE MORO DONATO","PMDB",152,4.04,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","VIVALDO DINARDI","PDS",150,3.99,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","VALTER VIOLIN","PDS",147,3.91,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","JOSE DIOMAR DECUSSE","PMDB",117,3.11,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","JOSE GERALDI FILHO","PMDB",114,3.03,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","MARCOS VALERIO FERNANDES","PMDB",112,2.98,"ELEITO"
1982,"VEREADOR","AMERICO DE CAMPOS","3501806","61352","1","JOSE PEIXOTO","PMDB",111,2.95,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","LUIZ CARLOS DE OLIVEIRA-2/2","PMDB",854,4.41,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","HAMILTON CAVIOLLA","PDS",552,2.85,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","SILVANO MIOTTA","PDS",548,2.83,"ELEITO"
