"NOBORU UEHARA";"PDS";"371";"29.85";"ALTAIR";"1982"
"URBANO FERREIRA DA SILVA";"PMDB";"136";"10.94";"ALTAIR";"1982"
"HICHEL AYDAR";"PMDB";"41";"3.3";"ALTAIR";"1982"
"CELSO VICENTINI ZUCCOLOTTO";"PDS";"3060";"46.55";"ALTINOPOLIS";"1982"
"JOSE FRAGA PEREIRA DA SILVA";"PMDB";"1920";"29.21";"ALTINOPOLIS";"1982"
"IUSSEF MIGUEL IUN";"PMDB";"1084";"16.49";"ALTINOPOLIS";"1982"
"CELSO VICENTINI ZUCCOLOTTO";"PDS";"3060";"46.55";"ALTINOPOLIS";"1982"
"JOSE FRAGA PEREIRA DA SILVA";"PMDB";"1920";"29.21";"ALTINOPOLIS";"1982"
"IUSSEF MIGUEL IUN";"PMDB";"1084";"16.49";"ALTINOPOLIS";"1982"
"NELSON JESUS FERLIM";"PDS";"1088";"38.94";"ALTO ALEGRE";"1982"
"SUSSUMI IVAMA";"PMDB";"763";"27.31";"ALTO ALEGRE";"1982"
"PAULO ZAMBROZI";"PMDB";"554";"19.83";"ALTO ALEGRE";"1982"
"AFONSO DOS SANTOS VICENTINO FILHO";"PDS";"141";"5.05";"ALTO ALEGRE";"1982"
"DEVANIR RICIERI NARDO";"PDS";"100";"3.58";"ALTO ALEGRE";"1982"
"NELSON JESUS FERLIM";"PDS";"1088";"38.94";"ALTO ALEGRE";"1982"
"SUSSUMI IVAMA";"PMDB";"763";"27.31";"ALTO ALEGRE";"1982"
"PAULO ZAMBROZI";"PMDB";"554";"19.83";"ALTO ALEGRE";"1982"
"AFONSO DOS SANTOS VICENTINO FILHO";"PDS";"141";"5.05";"ALTO ALEGRE";"1982"
"DEVANIR RICIERI NARDO";"PDS";"100";"3.58";"ALTO ALEGRE";"1982"
"GENESIO PICOLO";"PMDB";"1670";"55.06";"ALVARES FLORENCE";"1982"
"JOAQUIM WAIDEMAN";"PDS";"1131";"37.29";"ALVARES FLORENCE";"1982"
"GENESIO PICOLO";"PMDB";"1670";"55.06";"ALVARES FLORENCE";"1982"
"JOAQUIM WAIDEMAN";"PDS";"1131";"37.29";"ALVARES FLORENCE";"1982"
"ANTONIO CASTILHO CERVANTES";"PMDB";"1916";"31.13";"ALVARES MACHADO";"1982"
"ELMO HENRIQUE GONCALVES MARTINS";"PDS";"1675";"27.22";"ALVARES MACHADO";"1982"
"DIRCEU MORAES";"PMDB";"1095";"17.79";"ALVARES MACHADO";"1982"
"JOSE DE ANDRADE TEIXEIRA";"PDS";"677";"11";"ALVARES MACHADO";"1982"
"KIOCHI TATIZAWA";"PMDB";"343";"5.57";"ALVARES MACHADO";"1982"
"JOSE CARLOS DO NASCIMENTO";"PT";"66";"1.07";"ALVARES MACHADO";"1982"
"ANTONIO CASTILHO CERVANTES";"PMDB";"1916";"31.13";"ALVARES MACHADO";"1982"
"ELMO HENRIQUE GONCALVES MARTINS";"PDS";"1675";"27.22";"ALVARES MACHADO";"1982"
"DIRCEU MORAES";"PMDB";"1095";"17.79";"ALVARES MACHADO";"1982"
"JOSE DE ANDRADE TEIXEIRA";"PDS";"677";"11";"ALVARES MACHADO";"1982"
"KIOCHI TATIZAWA";"PMDB";"343";"5.57";"ALVARES MACHADO";"1982"
"JOSE CARLOS DO NASCIMENTO";"PT";"66";"1.07";"ALVARES MACHADO";"1982"
"JOSE MENDES FILHO";"PDS";"571";"44.13";"ALVARO DE CARVALHO";"1982"
"JOAO RAMIRES PALHANO";"PTB";"263";"20.32";"ALVARO DE CARVALHO";"1982"
"JOSE BISPO VARJAO";"PDS";"180";"13.91";"ALVARO DE CARVALHO";"1982"
"ELIAS DE OLIVEIRA";"PMDB";"173";"13.37";"ALVARO DE CARVALHO";"1982"
"JOSE MENDES FILHO";"PDS";"571";"44.13";"ALVARO DE CARVALHO";"1982"
"JOAO RAMIRES PALHANO";"PTB";"263";"20.32";"ALVARO DE CARVALHO";"1982"
"JOSE BISPO VARJAO";"PDS";"180";"13.91";"ALVARO DE CARVALHO";"1982"
"ELIAS DE OLIVEIRA";"PMDB";"173";"13.37";"ALVARO DE CARVALHO";"1982"
"ALVINO DIAS";"PDS";"544";"43.94";"ALVINLANDIA";"1982"
"ARNALDINO THEODORO DE LIMA";"PDS";"465";"37.56";"ALVINLANDIA";"1982"
